ptf,PTFS,PTFG,PTFH1,PTFH2,PTFH3,PTFH4,PTFH5,HVSC
140,136.99,140,129.99,150,150,179.99,169.99,10
144.44,140,146.99,138.08,152.01,150,180,169.99,11
121,144.44,118,108.44,145.99,149.99,174.99,165,11.5
121,121,115,100,144.16,144.99,171.87,169.99,12
140,121,117.99,117.99,149.99,149.99,179.99,170,12.5
139.99,140,115,101.01,149.99,145.99,175,169.99,13.33
139.99,139.99,111.01,100,149.99,149.99,175,169.99,13.5
111.01,139.99,100,100,147,149.01,179.99,170,12.5
100.09,111.01,100,100.01,140,149.99,179.99,169.99,12
121,100.09,100,101.01,124,149.01,169.99,165,11
120.01,121,100,100,116.79,139.75,160,160,11
110.01,120.01,100,100,115,130,159.59,150,11
144.87,110.01,115,130,139.99,149.99,164.99,155.99,10.5
122.05,144.87,100,104.99,120,136.03,160,150,10
107.99,122.05,119.99,100,100,117,164.99,150,10
100,107.99,100,99.99,100,116.99,153.99,143,10
99.99,100,99.99,99.99,99.99,116.99,150,125,10
99.99,99.99,99.99,99,99.99,116.99,149.99,125,10
99.99,99.99,99.99,99,99.99,116.99,149.99,125,10
99.99,99.99,99.99,99.99,99.99,116.99,149.99,125,10
99.99,99.99,99.99,99.99,100,116.99,150,130,10
100,99.99,100,99.99,100,117,159.99,150,11
100,100,110.2,100,108,131.78,165,170,11
119.8,100,136.99,100,129.99,146.98,200,199.99,11
120,119.8,140,105.35,149.99,149.99,209.53,200.13,11.5
120,120,144.44,100.06,150,149.99,200.08,200.27,12.5
100.06,120,121,100,122,129.39,179.99,180,12
111,100.06,121,100,137,139.04,180,180,12
120.01,111,140,111,149.99,144.07,199.07,199.99,12.5
120,120.01,139.99,100,149.99,139.04,182.11,180,12
119.99,120,139.99,100,149.99,139.62,180,180,11.5
100.04,119.99,111.01,100,149.99,139.03,200,199.99,11
100,100.04,100.09,105,149.94,144.94,200.06,200,10
111,100,121,109.99,141.22,136.77,180,180,10
110.03,111,120.01,100,129,121.54,179.99,179.99,10
100.08,110.03,110.01,100,110.01,117,165,170,10.33
139.77,100.08,144.87,120,147,135.53,179.99,179.87,10
119.63,139.77,122.05,100,125.01,117,169.99,165,9
120,119.63,107.99,111.64,101.03,117,164.99,150,9
100,120,100,100,100,116.99,149.99,144.99,9
100,100,99.99,99.99,100,116.99,140,125,9
100,100,99.99,99.99,100,116.99,129,124.99,9
100,100,99.99,99.99,99.99,116.67,121,124.99,8
100,100,99.99,99.99,100,116.99,121,124.99,8
99.99,100,99.99,99.99,99.99,116.99,121,124.99,7.5
100,99.99,100,99.99,100,116.99,124,125,8.5
100,100,100,100,100,117,148,150,9.5
127.62,100,119.8,100,120,117.99,179.99,170,10
130.01,127.62,120,100,130.36,128.99,180,179.99,11
139.99,130.01,120,120,148.72,138.93,184.99,180,11.5
120,139.99,100.06,100.06,140,135.74,180,179.99,11.5
111,120,111,100,129,130.01,179.99,179.99,12.5
110.08,111,120.01,100,122,132,179.99,170,13.5
100.06,110.08,120,100,120,123.9,170,169.99,14
100,100.06,119.99,100,108.45,117,169.99,165,13.5
100,100,100.04,99.99,110.09,117.99,170,170,14
100,100,100,100,120.01,126,179.99,179.99,13
119,100,111,100,120,126,169.99,179.99,12
120,119,110.03,100,114.42,117,164.99,169.99,12.5
100.09,120,100.08,99.99,109.01,117,154,164.99,12.33
140,100.09,139.77,100,120.01,117,165,168.09,11.5
130,140,119.63,100,110.09,117,164.99,164.99,11.5
100,130,120,100,107.99,116.99,121,150,11
99.99,100,100,99.99,100,116.99,120.99,133.99,11
99.99,99.99,100,99.99,99.99,102.19,110.09,124.99,11
98,99.99,100,98.9,99.99,74.99,104.28,123.75,11
86,98,100,99.99,99.99,92.07,101.94,122,11
86,86,100,74,99.99,100,108.27,122,10.5
71.99,86,99.99,49.99,99.99,70,84.99,123.74,11
68,71.99,100,49.99,99.99,69,97.1,120.01,11.5
98,68,100,75,99.99,100.1,97.09,125,12.5
99.99,98,127.62,99.99,100,113.44,120.99,142.98,12
100,99.99,130.01,100,100,116.99,121,150,13
100,100,139.99,100,100.1,116.99,124.74,159.99,13
100,100,120,100,100.07,117,130,159.99,13.5
100,100,111,100,110.01,117,137.89,159.99,15
100,100,110.08,99.99,101.03,116.99,130,158.91,14.5
100,100,100.06,99.99,100.06,116.99,123.74,150.01,15.67
100,100,100,99.99,100,116.99,123.74,150.58,16
100,100,100,99.99,110,117,140,159.99,11.5
100,100,100,100,140,119.96,159.99,164.99,8.5
119.99,100,119,119.99,140,117,159.99,165,8
139.99,119.99,120,110,126.99,117,151.99,160,7
119.99,139.99,100.09,100,113.14,117,149.99,159.99,7
131.38,119.99,140,100,114.32,117,145,159.99,7
100.02,131.38,130,100,100.06,116.99,130.01,150,6.5
100,100.02,100,99.99,100,116.99,120.99,139,5
99.99,100,99.99,98.99,99.99,103.98,110,125,4.5
99.99,99.99,99.99,68,99.99,90,94.19,123.74,4
99.01,99.99,98,71.99,90.01,54,75,110.06,4
99,99.01,86,68,80.9,53.99,75,110.06,4
99.99,99,86,78.98,99.99,77.66,93.61,115.99,4
99.99,99.99,71.99,75.26,99.99,94.14,100.1,124.99,4.5
100,99.99,68,99.99,100,116.99,121,135,6
140,100,98,100,107.99,117,121,164.99,5.5
149.99,140,99.99,134.92,140,117,140,179.99,7.33
159.99,149.99,100,139.99,149.99,129.5,159.99,180,9.5
170,159.99,100,140,150,139.99,161.22,200,8
150,170,100,107.89,149.45,120.01,150.08,179.99,9.5
150,150,100,107.89,149.99,123.91,150,180,9
170,150,100,111.01,150.29,139.99,159.99,180,9
160,170,100,110,150,141.23,160,180,9.33
159.99,160,100,100,150,140,159.99,179.99,10
150,159.99,100,100,152.95,149.99,165,180.56,10.5
149.99,150,100,100,149.99,145,160,180,10
165.87,149.99,119.99,100,141.23,133.02,150,170,8.5
162.92,165.87,139.99,100,136.03,117,135.01,164.99,8.5
150,162.92,119.99,99.99,114.77,117,130,157.44,10
166.59,150,131.38,100,141.23,135.74,155.01,164.99,9
149.99,166.59,100.02,100,117.03,117,135.01,155,9
128.36,149.99,100,100,100.06,116.99,124.17,139.99,8
100,128.36,99.99,99.99,100,116.99,121,124.99,7.5
100,100,99.99,78.99,99.99,116.85,120.99,122,7
100,100,99.01,70.47,99.99,110.01,120,116,5.67
100,100,99,70,99.99,110,120,116,5
100,100,99.99,72,99.99,110.08,120.99,121.99,5.5
100,100,99.99,72,99.99,116.99,120.99,123.75,6
100,100,100,99.99,100,116.99,121,125,7
149.99,100,140,100,119.58,117,132,159.99,8.5
160,149.99,149.99,100,140,137,144.99,179.99,10
169.62,160,159.99,105.99,140,141.22,159.99,180,11
174.93,169.62,170,106,144.46,145,159.99,184.99,11.5
150,174.93,150,100,139.99,134.06,149.99,170.35,12
165.87,150,150,100,140.45,128.99,150,174.99,12
169,165.87,170,100,140.51,136.99,159.99,179.99,13.5
150,169,160,100,136.99,128.99,155.01,175,13.67
149.99,150,159.99,100,139.99,137,153.28,179.99,13.5
141.95,149.99,150,100,138.15,140,155,180,14
145,141.95,149.99,100,140.49,144.94,155.01,180,14
159.99,145,165.87,100,134.99,136.88,140.01,170,13.5
159.99,159.99,162.92,100,120,117.22,134.74,164.99,11
149.99,159.99,150,100,107.98,117,129.97,159.99,12
170,149.99,166.59,130,141.23,144.99,155.01,164.99,12
150,170,149.99,100,119.11,120,140,158.26,12
140,150,128.36,100.08,100,115,123.64,135.48,12
100,140,100,100,99.99,114.99,119,124.46,11
100,100,100,99.99,99.99,114.91,118.99,124.99,10
100,100,100,99.99,99.99,108,118.99,121.99,9.67
100,100,100,99.99,99.99,108,118.99,122,8.5
100,100,100,99.99,99.99,113,118.99,124.99,8.5
100,100,100,99.99,99.99,114.99,119,124.99,9
100.01,100,100,99.99,100,114.99,120.01,130.69,11
149.99,100.01,149.99,115,110,115,136.03,160,12.5
169.99,149.99,160,134.99,140,144.94,151.51,180,13
170,169.99,169.62,140,140.8,146,160,200,14.5
179.99,170,174.93,146.99,141.22,150,160,209.99,15.5
168.89,179.99,150,118,128.99,145,152.47,180,17
162.93,168.89,165.87,115,122,140,149.52,180,18
170,162.93,169,117.99,122,146,154.99,199.99,19
169.26,170,150,115,122.45,144.99,150,180,19.33
165,169.26,149.99,111.01,122,144.94,150,180,20
149.99,165,141.95,100,120,145,151.5,199.06,20.5
148.49,149.99,145,100,129.99,144.99,150,189.59,18
149.99,148.49,159.99,100,135,141.23,145,179.99,15
149.99,149.99,159.99,100,106,121.99,137,165,14
139.99,149.99,149.99,100,100.04,115,129.41,159.99,14
165.87,139.99,170,115,140,139.99,159.99,162,13.5
140.01,165.87,150,100,114.75,116.2,147.86,155,12
100,140.01,140,119.99,100,115,119,149.99,13.5
99.99,100,100,100,99.99,114.99,118.99,129,14
99.99,99.99,100,99.99,99.99,114.99,118.99,125,12.5
99.99,99.99,100,99.99,99.99,112.99,118.34,124.99,12.33
99.99,99.99,100,99.99,99.99,110.03,117.19,124.99,12
99.99,99.99,100,99.99,99.99,113.65,118.99,125,12
99.99,99.99,100,99.99,99.99,114.99,118.99,125,12
100,99.99,100.01,100,99.99,115,119,149.99,13
140,100,149.99,110.2,100,120,129.12,150,14
156,140,169.99,136.99,121.85,149.99,149.99,170,14
160,156,170,140,129.99,150,150,179.99,15.5
168.05,160,179.99,144.44,138.08,152.01,150,180,17
140,168.05,168.89,121,108.44,145.99,149.99,174.99,19
140,140,162.93,121,100,144.16,144.99,171.87,19
140,140,170,140,117.99,149.99,149.99,179.99,20.5
119.98,140,169.26,139.99,101.01,149.99,145.99,175,19.67
100.05,119.98,165,139.99,100,149.99,149.99,175,19.5
100.04,100.05,149.99,111.01,100,147,149.01,179.99,19
100,100.04,148.49,100.09,100.01,140,149.99,179.99,18.5
110,100,149.99,121,101.01,124,149.01,169.99,19.5
140,110,149.99,120.01,100,116.79,139.75,160,17.5
120,140,139.99,110.01,100,115,130,159.59,17
156.01,120,165.87,144.87,130,139.99,149.99,164.99,16
120,156.01,140.01,122.05,104.99,120,136.03,160,16.5
100,120,100,107.99,100,100,117,164.99,16
99.99,100,99.99,100,99.99,100,116.99,153.99,14
99.99,99.99,99.99,99.99,99.99,99.99,116.99,150,13.5
99.99,99.99,99.99,99.99,99,99.99,116.99,149.99,14
99.99,99.99,99.99,99.99,99,99.99,116.99,149.99,15
99.99,99.99,99.99,99.99,99.99,99.99,116.99,149.99,14
99.99,99.99,99.99,99.99,99.99,100,116.99,150,13.5
99.99,99.99,100,100,99.99,100,117,159.99,16
100,99.99,140,100,100,108,131.78,165,17.5
150,100,156,119.8,100,129.99,146.98,200,16.67
153.01,150,160,120,105.35,149.99,149.99,209.53,17.5
159.99,153.01,168.05,120,100.06,150,149.99,200.08,17
100.1,159.99,140,100.06,100,122,129.39,179.99,18
123.74,100.1,140,111,100,137,139.04,180,18.5
135,123.74,140,120.01,111,149.99,144.07,199.07,18
100.1,135,119.98,120,100,149.99,139.04,182.11,18.67
122.49,100.1,100.05,119.99,100,149.99,139.62,180,19
100.07,122.49,100.04,100.04,100,149.99,139.03,200,18.5
100,100.07,100,100,105,149.94,144.94,200.06,18
125.74,100,110,111,109.99,141.22,136.77,180,17
138,125.74,140,110.03,100,129,121.54,179.99,16
100.1,138,120,100.08,100,110.01,117,165,15
150,100.1,156.01,139.77,120,147,135.53,179.99,12.5
137.99,150,120,119.63,100,125.01,117,169.99,13.5
99.99,137.99,100,120,111.64,101.03,117,164.99,13
99.99,99.99,99.99,100,100,100,116.99,149.99,13.5
99.99,99.99,99.99,100,99.99,100,116.99,140,13
98.99,99.99,99.99,100,99.99,100,116.99,129,13.67
94,98.99,99.99,100,99.99,99.99,116.67,121,13
98.99,94,99.99,100,99.99,100,116.99,121,13
80.58,98.99,99.99,99.99,99.99,99.99,116.99,121,12.5
99.99,80.58,99.99,100,99.99,100,116.99,124,13.5
99.99,99.99,100,100,100,100,117,148,14
100,99.99,150,127.62,100,120,117.99,179.99,14.33
120,100,153.01,130.01,100,130.36,128.99,180,15
135,120,159.99,139.99,120,148.72,138.93,184.99,15.5
100,135,100.1,120,100.06,140,135.74,180,17
100,100,123.74,111,100,129,130.01,179.99,18
100,100,135,110.08,100,122,132,179.99,18.5
100,100,100.1,100.06,100,120,123.9,170,19.33
100,100,122.49,100,100,108.45,117,169.99,21
99.99,100,100.07,100,99.99,110.09,117.99,170,20
99.99,99.99,100,100,100,120.01,126,179.99,17.5
100,99.99,125.74,119,100,120,126,169.99,15.5
100,100,138,120,100,114.42,117,164.99,15.5
100,100,100.1,100.09,99.99,109.01,117,154,15.33
115.77,100,150,140,100,120.01,117,165,14
100,115.77,137.99,130,100,110.09,117,164.99,15
99.99,100,99.99,100,100,107.99,116.99,121,14.5
90,99.99,99.99,99.99,99.99,100,116.99,120.99,15
70.01,90,99.99,99.99,99.99,99.99,102.19,110.09,14
50.03,70.01,98.99,98,98.9,99.99,74.99,104.28,14.67
49.99,50.03,94,86,99.99,99.99,92.07,101.94,15
36,49.99,98.99,86,74,99.99,100,108.27,16.5
35,36,80.58,71.99,49.99,99.99,70,84.99,16
26,35,99.99,68,49.99,99.99,69,97.1,15.5
36,26,99.99,98,75,99.99,100.1,97.09,17.5
72,36,100,99.99,99.99,100,113.44,120.99,17.33
90,72,120,100,100,100,116.99,121,17
99.99,90,135,100,100,100.1,116.99,124.74,17.5
98.99,99.99,100,100,100,100.07,117,130,18
90,98.99,100,100,100,110.01,117,137.89,18
89.99,90,100,100,99.99,101.03,116.99,130,19
71.99,89.99,100,100,99.99,100.06,116.99,123.74,19
69.99,71.99,100,100,99.99,100,116.99,123.74,19
70.01,69.99,99.99,100,99.99,110,117,140,18.5
83.99,70.01,99.99,100,100,140,119.96,159.99,18
99.99,83.99,100,119.99,119.99,140,117,159.99,17
99.99,99.99,100,139.99,110,126.99,117,151.99,17
99.99,99.99,100,119.99,100,113.14,117,149.99,15.33
99.99,99.99,115.77,131.38,100,114.32,117,145,15
99.99,99.99,100,100.02,100,100.06,116.99,130.01,13.5
50.08,99.99,99.99,100,99.99,100,116.99,120.99,13
36,50.08,90,99.99,98.99,99.99,103.98,110,13
26,36,70.01,99.99,68,99.99,90,94.19,13.5
19.99,26,50.03,99.01,71.99,90.01,54,75,12.67
19.99,19.99,49.99,99,68,80.9,53.99,75,9.5
26,19.99,36,99.99,78.98,99.99,77.66,93.61,8
35.99,26,35,99.99,75.26,99.99,94.14,100.1,8
59.99,35.99,26,100,99.99,100,116.99,121,8
99.99,59.99,36,140,100,107.99,117,121,7.5
100,99.99,72,149.99,134.92,140,117,140,7
120,100,90,159.99,139.99,149.99,129.5,159.99,7
135.35,120,99.99,170,140,150,139.99,161.22,7
100,135.35,98.99,150,107.89,149.45,120.01,150.08,7
100,100,90,150,107.89,149.99,123.91,150,7
100,100,89.99,170,111.01,150.29,139.99,159.99,7.5
100,100,71.99,160,110,150,141.23,160,7.5
100,100,69.99,159.99,100,150,140,159.99,8.5
99.99,100,70.01,150,100,152.95,149.99,165,8
95,99.99,83.99,149.99,100,149.99,145,160,7.5
99.99,95,99.99,165.87,100,141.23,133.02,150,8
99.99,99.99,99.99,162.92,100,136.03,117,135.01,8
99.99,99.99,99.99,150,99.99,114.77,117,130,8
100,99.99,99.99,166.59,100,141.23,135.74,155.01,8
99.99,100,99.99,149.99,100,117.03,117,135.01,8
99.99,99.99,50.08,128.36,100,100.06,116.99,124.17,8
68,99.99,36,100,99.99,100,116.99,121,8.5
40.01,68,26,100,78.99,99.99,116.85,120.99,8
36,40.01,19.99,100,70.47,99.99,110.01,120,8
35.99,36,19.99,100,70,99.99,110,120,8
40,35.99,26,100,72,99.99,110.08,120.99,8
49.99,40,35.99,100,72,99.99,116.99,120.99,8
69.99,49.99,59.99,100,99.99,100,116.99,121,8
99.99,69.99,99.99,149.99,100,119.58,117,132,8
100,99.99,100,160,100,140,137,144.99,8
100,100,120,169.62,105.99,140,141.22,159.99,8
100,100,135.35,174.93,106,144.46,145,159.99,8
99.99,100,100,150,100,139.99,134.06,149.99,8.5
99.99,99.99,100,165.87,100,140.45,128.99,150,8
99.99,99.99,100,169,100,140.51,136.99,159.99,8
99.99,99.99,100,150,100,136.99,128.99,155.01,8.67
99.99,99.99,100,149.99,100,139.99,137,153.28,8.5
99.99,99.99,99.99,141.95,100,138.15,140,155,8.5
74.6,99.99,95,145,100,140.49,144.94,155.01,7.5
85.01,74.6,99.99,159.99,100,134.99,136.88,140.01,7.5
99.99,85.01,99.99,159.99,100,120,117.22,134.74,7
99.99,99.99,99.99,149.99,100,107.98,117,129.97,7.5
100,99.99,100,170,130,141.23,144.99,155.01,7.25
99.99,100,99.99,150,100,119.11,120,140,7
89.99,99.99,99.99,140,100.08,100,115,123.64,7
80,89.99,68,100,100,99.99,114.99,119,7
69.99,80,40.01,100,99.99,99.99,114.91,118.99,7
65.01,69.99,36,100,99.99,99.99,108,118.99,7
65.01,65.01,35.99,100,99.99,99.99,108,118.99,7
70,65.01,40,100,99.99,99.99,113,118.99,7
79.99,70,49.99,100,99.99,99.99,114.99,119,7
89.99,79.99,69.99,100.01,99.99,100,114.99,120.01,7
90,89.99,99.99,149.99,115,110,115,136.03,9
120.01,90,100,169.99,134.99,140,144.94,151.51,9
139.09,120.01,100,170,140,140.8,146,160,9
140.02,139.09,100,179.99,146.99,141.22,150,160,8.5
120.01,140.02,99.99,168.89,118,128.99,145,152.47,10
120.01,120.01,99.99,162.93,115,122,140,149.52,9
130.01,120.01,99.99,170,117.99,122,146,154.99,9.5
100.1,130.01,99.99,169.26,115,122.45,144.99,150,10
100.02,100.1,99.99,165,111.01,122,144.94,150,10
92,100.02,99.99,149.99,100,120,145,151.5,10
90,92,74.6,148.49,100,129.99,144.99,150,9.5
95.01,90,85.01,149.99,100,135,141.23,145,9
100.01,95.01,99.99,149.99,100,106,121.99,137,9.5
92,100.01,99.99,139.99,100,100.04,115,129.41,10
120.01,92,100,165.87,115,140,139.99,159.99,8
90,120.01,99.99,140.01,100,114.75,116.2,147.86,8
89.99,90,89.99,100,119.99,100,115,119,8
89.99,89.99,80,99.99,100,99.99,114.99,118.99,8
72,89.99,69.99,99.99,99.99,99.99,114.99,118.99,7.5
69.99,72,65.01,99.99,99.99,99.99,112.99,118.34,7.33
50.01,69.99,65.01,99.99,99.99,99.99,110.03,117.19,8
60.99,50.01,70,99.99,99.99,99.99,113.65,118.99,7
72,60.99,79.99,99.99,99.99,99.99,114.99,118.99,8
89.99,72,89.99,100,100,99.99,115,119,9
90,89.99,90,140,110.2,100,120,129.12,10
129.99,90,120.01,156,136.99,121.85,149.99,149.99,10.33
135,129.99,139.09,160,140,129.99,150,150,12
140.04,135,140.02,168.05,144.44,138.08,152.01,150,12.5
120.01,140.04,120.01,140,121,108.44,145.99,149.99,13
129.99,120.01,120.01,140,121,100,144.16,144.99,13.5
130,129.99,130.01,140,140,117.99,149.99,149.99,14.5
129.99,130,100.1,119.98,139.99,101.01,149.99,145.99,15.33
120,129.99,100.02,100.05,139.99,100,149.99,149.99,17
90,120,92,100.04,111.01,100,147,149.01,17
90,90,90,100,100.09,100.01,140,149.99,17
120,90,95.01,110,121,101.01,124,149.01,13.5
120.01,120,100.01,140,120.01,100,116.79,139.75,14.5
90,120.01,92,120,110.01,100,115,130,14.5
130,90,120.01,156.01,144.87,130,139.99,149.99,13
90,130,90,120,122.05,104.99,120,136.03,12.5
99.99,90,89.99,100,107.99,100,100,117,12
90,99.99,89.99,99.99,100,99.99,100,116.99,13
69.99,90,72,99.99,99.99,99.99,99.99,116.99,11.5
60,69.99,69.99,99.99,99.99,99,99.99,116.99,10.33
50.01,60,50.01,99.99,99.99,99,99.99,116.99,11
60.01,50.01,60.99,99.99,99.99,99.99,99.99,116.99,10
71.99,60.01,72,99.99,99.99,99.99,100,116.99,10
99.99,71.99,89.99,99.99,100,99.99,100,117,11.5
100,99.99,90,100,100,100,108,131.78,13
132.99,100,129.99,150,119.8,100,129.99,146.98,13.67
144.11,132.99,135,153.01,120,105.35,149.99,149.99,15
150,144.11,140.04,159.99,120,100.06,150,149.99,15
131.11,150,120.01,100.1,100.06,100,122,129.39,16
120,131.11,129.99,123.74,111,100,137,139.04,18
130,120,130,135,120.01,111,149.99,144.07,19
130,130,129.99,100.1,120,100,149.99,139.04,19
130,130,120,122.49,119.99,100,149.99,139.62,17.5
120,130,90,100.07,100.04,100,149.99,139.03,18
100,120,90,100,100,105,149.94,144.94,18.5
100,100,120,125.74,111,109.99,141.22,136.77,18.5
119.99,100,120.01,138,110.03,100,129,121.54,16
100,119.99,90,100.1,100.08,100,110.01,117,17.33
129.99,100,130,150,139.77,120,147,135.53,17
100,129.99,90,137.99,119.63,100,125.01,117,16
99.99,100,99.99,99.99,120,111.64,101.03,117,15.5
99.99,99.99,90,99.99,100,100,100,116.99,15.5
94.99,99.99,69.99,99.99,100,99.99,100,116.99,15.5
71.99,94.99,60,98.99,100,99.99,100,116.99,15.67
60.01,71.99,50.01,94,100,99.99,99.99,116.67,15
60.01,60.01,60.01,98.99,100,99.99,100,116.99,14
69.99,60.01,71.99,80.58,99.99,99.99,99.99,116.99,14
94.99,69.99,99.99,99.99,100,99.99,100,116.99,14.5
99.99,94.99,100,99.99,100,100,100,117,15
100,99.99,132.99,100,127.62,100,120,117.99,15.67
100,100,144.11,120,130.01,100,130.36,128.99,18
130,100,150,135,139.99,120,148.72,138.93,19.5
100,130,131.11,100,120,100.06,140,135.74,20
100,100,120,100,111,100,129,130.01,16.5
100,100,130,100,110.08,100,122,132,15.5
99.99,100,130,100,100.06,100,120,123.9,15
99.99,99.99,130,100,100,100,108.45,117,15.5
99.99,99.99,120,99.99,100,99.99,110.09,117.99,15
80,99.99,100,99.99,100,100,120.01,126,14
99.99,80,100,100,119,100,120,126,14
99.99,99.99,119.99,100,120,100,114.42,117,13
99.99,99.99,100,100,100.09,99.99,109.01,117,14
100,99.99,129.99,115.77,140,100,120.01,117,14.5
99.99,100,100,100,130,100,110.09,117,14
129.94,99.99,99.99,99.99,100,100,107.99,116.99,14
90,129.94,99.99,90,99.99,99.99,100,116.99,14
50,90,94.99,70.01,99.99,99.99,99.99,102.19,14
36,50,71.99,50.03,98,98.9,99.99,74.99,13
36,36,60.01,49.99,86,99.99,99.99,92.07,13
36,36,60.01,36,86,74,99.99,100,12
35.99,36,69.99,35,71.99,49.99,99.99,70,12.5
35.99,35.99,94.99,26,68,49.99,99.99,69,13
54.99,35.99,99.99,36,98,75,99.99,100.1,13
89.99,54.99,100,72,99.99,99.99,100,113.44,13.67
89.99,89.99,100,90,100,100,100,116.99,14.5
89.99,89.99,130,99.99,100,100,100.1,116.99,16
89.99,89.99,100,98.99,100,100,100.07,117,16.5
89.99,89.99,100,90,100,100,110.01,117,16.5
89.99,89.99,100,89.99,100,99.99,101.03,116.99,17.5
89.99,89.99,99.99,71.99,100,99.99,100.06,116.99,17
89.99,89.99,99.99,69.99,100,99.99,100,116.99,16
72,89.99,99.99,70.01,100,99.99,110,117,15.5
89.99,72,80,83.99,100,100,140,119.96,14
89.99,89.99,99.99,99.99,119.99,119.99,140,117,12.5
90,89.99,99.99,99.99,139.99,110,126.99,117,12
90,90,99.99,99.99,119.99,100,113.14,117,12.67
90,90,100,99.99,131.38,100,114.32,117,13
89.99,90,99.99,99.99,100.02,100,100.06,116.99,13
90,89.99,129.94,50.08,100,99.99,100,116.99,12.5
72,90,90,36,99.99,98.99,99.99,103.98,13
36,72,50,26,99.99,68,99.99,90,13
36,36,36,19.99,99.01,71.99,90.01,54,13
36,36,36,19.99,99,68,80.9,53.99,13
36,36,36,26,99.99,78.98,99.99,77.66,12
70,36,35.99,35.99,99.99,75.26,99.99,94.14,13
99.99,70,35.99,59.99,100,99.99,100,116.99,13
129.99,99.99,54.99,99.99,140,100,107.99,117,13
130,129.99,89.99,100,149.99,134.92,140,117,14.33
150,130,89.99,120,159.99,139.99,149.99,129.5,15.5
160,150,89.99,135.35,170,140,150,139.99,16
149.99,160,89.99,100,150,107.89,149.45,120.01,16.5
150,149.99,89.99,100,150,107.89,149.99,123.91,17
150,150,89.99,100,170,111.01,150.29,139.99,18.5
149.99,150,89.99,100,160,110,150,141.23,18.33
139.99,149.99,89.99,100,159.99,100,150,140,19
120.01,139.99,72,99.99,150,100,152.95,149.99,18
90,120.01,89.99,95,149.99,100,149.99,145,18
129.99,90,89.99,99.99,165.87,100,141.23,133.02,17
130,129.99,90,99.99,162.92,100,136.03,117,17
120,130,90,99.99,150,99.99,114.77,117,16
90,120,90,100,166.59,100,141.23,135.74,14.5
90,90,89.99,99.99,149.99,100,117.03,117,15
120.01,90,90,99.99,128.36,100,100.06,116.99,14
90,120.01,72,68,100,99.99,100,116.99,14
89.99,90,36,40.01,100,78.99,99.99,116.85,14.5
50.05,89.99,36,36,100,70.47,99.99,110.01,14.67
50.05,50.05,36,35.99,100,70,99.99,110,14
50.09,50.05,36,40,100,72,99.99,110.08,14
68,50.09,70,49.99,100,72,99.99,116.99,14
90,68,99.99,69.99,100,99.99,100,116.99,15.5
134.99,90,129.99,99.99,149.99,100,119.58,117,16.5
150,134.99,130,100,160,100,140,137,18
159.99,150,150,100,169.62,105.99,140,141.22,20
165.15,159.99,160,100,174.93,106,144.46,145,22
150,165.15,149.99,99.99,150,100,139.99,134.06,23
149.99,150,150,99.99,165.87,100,140.45,128.99,22.5
149.99,149.99,150,99.99,169,100,140.51,136.99,21
149.99,149.99,149.99,99.99,150,100,136.99,128.99,21.67
149.99,149.99,139.99,99.99,149.99,100,139.99,137,22
130,149.99,120.01,99.99,141.95,100,138.15,140,21
119.99,130,90,74.6,145,100,140.49,144.94,19
129.99,119.99,129.99,85.01,159.99,100,134.99,136.88,19
149.99,129.99,130,99.99,159.99,100,120,117.22,19
130,149.99,120,99.99,149.99,100,107.98,117,19
150,130,90,100,170,130,141.23,144.99,20
130,150,90,99.99,150,100,119.11,120,20
134.97,130,120.01,89.99,140,100.08,100,115,20
110,134.97,90,80,100,100,99.99,114.99,21
90,110,89.99,69.99,100,99.99,99.99,114.91,18.5
90,90,50.05,65.01,100,99.99,99.99,108,19.67
89.99,90,50.05,65.01,100,99.99,99.99,108,18.5
90,89.99,50.09,70,100,99.99,99.99,113,17
90,90,68,79.99,100,99.99,99.99,114.99,14.5
110.01,90,90,89.99,100.01,99.99,100,114.99,14.5
149.93,110.01,134.99,90,149.99,115,110,115,16
160,149.93,150,120.01,169.99,134.99,140,144.94,18
170,160,159.99,139.09,170,140,140.8,146,19.5
170.57,170,165.15,140.02,179.99,146.99,141.22,150,23
140,170.57,150,120.01,168.89,118,128.99,145,25
130.01,140,149.99,120.01,162.93,115,122,140,16
140,130.01,149.99,130.01,170,117.99,122,146,14.5
129.99,140,149.99,100.1,169.26,115,122.45,144.99,14.67
140.01,129.99,149.99,100.02,165,111.01,122,144.94,16.5
130,140.01,130,92,149.99,100,120,145,17
90,130,119.99,90,148.49,100,129.99,144.99,16.5
99.99,90,129.99,95.01,149.99,100,135,141.23,15.5
140,99.99,149.99,100.01,149.99,100,106,121.99,13
129.99,140,130,92,139.99,100,100.04,115,13
149.99,129.99,150,120.01,165.87,115,140,139.99,13
134.92,149.99,130,90,140.01,100,114.75,116.2,12
135,134.92,134.97,89.99,100,119.99,100,115,12
99,135,110,89.99,99.99,100,99.99,114.99,12
89.99,99,90,72,99.99,99.99,99.99,114.99,12
80,89.99,90,69.99,99.99,99.99,99.99,112.99,12
72,80,89.99,50.01,99.99,99.99,99.99,110.03,12
90,72,90,60.99,99.99,99.99,99.99,113.65,12
100.01,90,90,72,99.99,99.99,99.99,114.99,12
129.99,100.01,110.01,89.99,100,100,99.99,115,12
149.93,129.99,149.93,90,140,110.2,100,120,12
