ptf,PTFS,PTFG,PTFH1,PTFH2,PTFH3,PTFH4,PTFH5,HVSC
154.99,154.99,150,155,168.08,149.99,155,169.99,4
154.99,154.99,149.99,149.99,154.99,149.95,150,166.88,5
150,154.99,135,149.32,150,148.46,150,150,5
150,150,130,147.41,150,145,149.99,150,5
150.1,150,150,149.95,150,145.59,149.99,149.99,5
149.99,150.1,149.86,140,149.99,139.36,140,146.79,5
117.99,149.99,145,115,135,129.99,138.99,135,5.5
110.01,117.99,130.01,88.3,129.75,123.85,129.99,130,5
90,110.01,116,35.05,111.13,120.01,102.19,110.01,5
89.99,90,100.05,19.99,100,104.99,52.99,94.8,5
90,89.99,100,10.01,99,35.04,49.99,94.8,5
90.4,90,100.02,35.05,104.69,114.93,53,97.8,5
116,90.4,100.06,110.01,125,130,120.01,128.99,5
130.01,116,90,129,138,133.78,139,135.01,5
150,130.01,115.99,159.84,150,150,154.99,150,4
155,150,117.99,169.99,169.99,160,169.99,169.99,4.5
155.99,155,130,169.99,169.99,169.99,170,170,5
160,155.99,142.22,170,169.99,169.99,170,170,5
155,160,144.99,169.99,155.99,150,169.99,168.91,5
155,155,149,169.99,169.99,150,169.99,163.06,5
155.99,155,148,169.99,169.99,150,170,169.99,5
155,155.99,149.99,169.99,169.99,150,170,169.99,4
159.99,155,150.94,169.99,169.99,169.99,173.09,170,4
165,159.99,154.99,170,170,169.99,179.99,180,4
155,165,154.99,169.99,169.99,169.99,170,175,4
154.99,155,154.99,159.99,169.99,150.01,169.99,170,5.5
150,154.99,150,149.92,154.99,150,163.62,169.99,5.33
149.99,150,150,145,150,149.99,157.99,169.99,4.5
154.99,149.99,150.1,169.99,150,149.99,155.71,153.67,5
149.99,154.99,149.99,169.99,149.99,144.48,150,149.99,5
138.99,149.99,117.99,149.58,149.99,135.97,145,148.64,5.5
124.89,138.99,110.01,140,140,130,130,135,3.5
114.36,124.89,90,129.09,130,126.22,119.24,130,2.33
100,114.36,89.99,113.09,119.48,110.01,105.32,110.01,2
99.01,100,90,110,119.74,110,110.01,110,1.5
104.74,99.01,90.4,118,129.99,114.95,119.94,120.01,2
125.59,104.74,116,137.68,139,120.39,135,129,2
134,125.59,130.01,140.01,145.1,130,138.99,135.01,2.5
149.16,134,150,164,169.99,149.96,153.99,150,3.33
154.74,149.16,155,169.99,169.99,150,169.99,170,5
154.99,154.74,155.99,169.99,169.99,150,170,170,5.5
154.99,154.99,160,169.99,170,153.76,170,170,7
150,154.99,155,165.55,169.99,149.99,169.99,169.99,6
150,150,155,169.99,169.99,149.99,169.99,169.99,6.5
150,150,155.99,169.99,169.99,149.99,170,169.99,6
150,150,155,169.99,169.99,150,170,169.99,6
154.99,150,159.99,169.99,170,169.99,170,170,6
155,154.99,165,170,170,169.99,179.99,180,5.5
153.99,155,155,169.99,169.99,150,170,170,5
149.99,153.99,154.99,160,169.99,150,169.99,170,4.5
134.75,149.99,150,155.85,169.99,149.99,162.17,169.99,4.67
130,134.75,149.99,149.91,154.58,149.93,153.99,169.99,5
150.06,130,154.99,169.99,169.99,149.96,155,169.99,5.5
148.87,150.06,149.99,169.99,150,142.58,149.99,150,5.5
128,148.87,138.99,144.99,148.56,130.01,144.92,145,6
115.99,128,124.89,131.03,135.01,127.99,134.99,130,5.5
109.99,115.99,114.36,117.31,130,115,119.76,125,5.33
100.05,109.99,100,104.99,120.01,99.01,110.01,99.01,6
99.01,100.05,99.01,100.03,117.12,100,110.01,99.01,5
99,99.01,104.74,107.01,129,115,116.99,110,5
115.99,99,125.59,130.69,135,130.01,127.9,124.99,5
120.01,115.99,134,140,139.99,140,140.01,129,5.5
145,120.01,149.16,159.38,154.91,149.99,154,150,6
152.75,145,154.74,169.99,169.99,150,169.99,169.99,6.5
154.99,152.75,154.99,169.99,169.99,151.98,170,169.99,6.5
154.99,154.99,154.99,169.99,170,169.99,170,170,7
150,154.99,150,169.99,169.99,149.99,169.99,169.99,6
150.01,150,150,169.99,169.99,150,170,169.99,6.5
154.99,150.01,150,169.99,169.99,150,170,169.99,6
150,154.99,150,169.99,169.99,150,169.99,169.99,6
154.99,150,154.99,169.99,170,169.99,170,170,6
159.99,154.99,155,169.99,170,169.99,170,170,5
150,159.99,153.99,163.99,170,169.99,170,170,5.5
148,150,149.99,154.99,169.99,150,169.99,170,5.5
131.98,148,134.75,149.23,169.99,150,159.94,169.99,5
120.4,131.98,130,140,154.49,149.99,154,169.99,5
154.99,120.4,150.06,169.99,169.99,150,157.01,169.92,5
149.99,154.99,148.87,159.99,150,149.99,149.99,150,5
130.02,149.99,128,140.01,149.99,140,140.01,149.99,5
116,130.02,115.99,127.99,133,135,133,139,4.5
109.99,116,109.99,115.67,129.99,125.32,128.99,128,4.67
100,109.99,100.05,100.04,120,118.12,116.99,104.01,5
100,100,99.01,100.04,117,116.59,115,104.01,5
110,100,99,107.14,129.99,118.49,119.93,110.01,5
117.99,110,115.99,128.76,140,125,126.63,129.22,5
133.58,117.99,120.01,135.01,149.99,140,140.01,138.99,5
149.99,133.58,145,158.74,169.99,150,159.43,165,5
154.99,149.99,152.75,169.99,170,169.99,170,169.99,5
154.99,154.99,154.99,169.99,170,164.99,170,169.99,5.5
155,154.99,154.99,169.99,179.99,169.99,170,169.99,6
154.99,155,150,164,170,150,169.99,169.99,7
155,154.99,150.01,169.99,170,150,169.99,169.99,7
155,155,154.99,169.99,170,150,170,169.99,7
155,155,150,169.99,170,150,169.99,169.99,6.5
155,155,154.99,169.99,175,169.99,170,169.99,5
160,155,159.99,169.99,180,169.99,170,170,4.5
152.5,160,150,150,170,164.49,170,170,5
148.75,152.5,148,149.95,170,150,169.99,169.99,3.5
147.85,148.75,131.98,143,169.99,150,169.99,169.99,4
136.99,147.85,120.4,135,169.99,149.99,163.35,163.75,4.5
154.99,136.99,154.99,160,169.99,150,164.99,166,4
149.99,154.99,149.99,149.96,169.99,149.99,150,150,3
134,149.99,130.02,139.98,154.95,144.99,140.01,130.01,4
122.19,134,116,126.01,135.57,139.9,130,129,2
115.99,122.19,109.99,109.99,129.99,129.99,120.01,111.38,0.67
101.51,115.99,100,78.5,118.01,116.99,110,109,1
100.01,101.51,100,75,117,114.91,110,109,0
110.01,100.01,110,100,125.24,117,114.94,109.01,0.5
125,110.01,117.99,119.28,135.01,135,129.99,128.01,3
134,125,133.58,134,139.99,144.99,130,129.99,3.5
150,134,149.99,143.33,169.99,150,153.99,150,4.33
154.99,150,154.99,158.75,170,169.99,163.75,169.99,5.5
159.99,154.99,154.99,150,170,169.99,169.99,169.99,7
160,159.99,155,154.99,170,169.99,169.99,169.99,6.5
154.99,160,154.99,139.66,169.99,149.99,150,149.99,7
159.99,154.99,155,159.99,170,154,160,150,7
159.99,159.99,155,155,170,169.99,169.99,155,7
155,159.99,155,149.01,170,164.99,169.99,154.46,7
159.99,155,155,165,170,169.99,170,169.99,7
160,159.99,160,169.99,170,169.99,170,169.99,7
154.99,160,152.5,159.99,170,169.99,169.99,157.99,7
150,154.99,148.75,149,169.99,154.84,169.99,150,7
149.99,150,147.85,137.99,169.99,150,160.04,149.99,7.67
143.01,149.99,136.99,129.97,169.99,149.99,150,149.99,8
154.99,143.01,154.99,160,169.99,150,151.48,149.99,7.5
149.99,154.99,149.99,154.36,164.99,149.99,149.99,149.93,8
135,149.99,134,140,150.99,133,140,149.99,7
129.99,135,122.19,126.85,138.99,127.99,130,140,7
119.91,129.99,115.99,109.99,129.94,120.34,122.01,130,7
113.69,119.91,101.51,100,128.99,114.9,110,125.01,7
112.99,113.69,100.01,100,116.99,112.29,85.21,119.97,7.5
114.82,112.99,110.01,100.08,116.99,114.93,79.5,125.01,7.5
121.95,114.82,125,118,119.93,116.36,119.15,125.01,7
117.99,121.95,134,119.09,115.68,110.01,116.99,129,6.5
135,117.99,150,130.94,139.99,139.94,149.99,150,6
150,135,154.99,149.99,166.06,150,150,164.88,6
155,150,159.99,150,169.99,154,150,169.99,5
159.89,155,160,154.99,169.99,165.79,153.01,170,3
154.99,159.89,154.99,150,169.99,150,150,169.99,2.5
154.99,154.99,159.99,150,169.99,150,150,169.99,2
154.99,154.99,159.99,150,169.99,150,149.99,169.99,2
151.51,154.99,155,150,169,150,149.99,169.99,2
154.99,151.51,159.99,150,169.99,154.82,150,169.99,2
155,154.99,160,154.99,169.99,169.99,153.99,170,1.5
154.99,155,154.99,150,169.99,154,150,169.99,2
150,154.99,150,149.99,168.99,150,150,169.99,2.5
148,150,149.99,135,154.67,150,149.99,158,2.67
139.99,148,143.01,130,140.04,149.99,149.95,150,3
150,139.99,154.99,150,145.63,150,149.97,153.19,3
149.99,150,149.99,149.86,130,149.49,144.99,149.99,3.5
134,149.99,135,145,149.99,149.99,139.96,149.99,3
123.94,134,129.99,130.01,129.99,138.01,130,130.93,1
120.01,123.94,119.91,116,117.14,129.74,110.01,129.92,0.67
115.99,120.01,113.69,100.05,101.72,117,35.04,110.06,2
110.23,115.99,112.99,100,53.99,104.81,20.17,99.98,0.5
110.73,110.23,114.82,100.02,53.99,104.54,45.48,100,-0.5
116,110.73,121.95,100.06,55,100,110,99.97,1.5
100.07,116,117.99,90,35.05,58.91,53,52.99,1.5
100.05,100.07,135,115.99,54,124.99,115,110.01,2.33
110.01,100.05,150,117.99,100.06,149,134.21,127.75,3.5
130,110.01,155,130,105,150,140,141.01,4
134.75,130,159.89,142.22,130.01,150,147.99,149.99,5
140.01,134.75,154.99,144.99,130.51,150,140.71,148,5
145,140.01,154.99,149,130,150,142.01,149.97,5
145,145,154.99,148,127.76,149.99,139.99,149.99,5
148.75,145,151.51,149.99,131.33,149.99,140.01,149.99,5
150,148.75,154.99,150.94,148,150,149.97,150,4
154.99,150,155,154.99,155.24,169.99,149.99,155,4
154.99,154.99,154.99,154.99,155,168.08,149.99,155,3
154.99,154.99,150,154.99,149.99,154.99,149.95,150,3
150,154.99,148,150,149.32,150,148.46,150,2.33
